id,text,like_count,reply_count,timestamp
,It’s two truths and a lie with actor Shahid Kapoor  Can you guess which house rule is fake?,,,
,POV: using meta.ai to turn your food pics into anime ✨ Create your own using the Stories feature.,,,
,"Trampolining, watercolor and freestyle rapping?!  Discover even more secret passions from “Stranger Things” stars Sadie Sink and Maya Hawke in the full episode of Close Friends Only: Speed Round on Instagram.",,,
,which side dish is your go-to?,,,
,macaroni and cheese,,,
,It’s two truths and a lie with actor Shahid Kapoor 👀 Can you guess which house rule is fake?,,,
,https://www.instagram.com/reel/DRoB3X-DMg3/,,,
,"Trampolining, watercolor and freestyle rapping?! 🤯 Discover even more secret passions from “Stranger Things” stars Sadie Sink and Maya Hawke in the full episode of Close Friends Only: Speed Round on Instagram.",,,
